,Name,Category,Ingredients,Rating,frequency
18,Tunnel of Fudge Cake III Recipe ,,"['butter', 'egg', 'white sugar', 'flour', 'chocolate', 'walnut']",5,10
97,'Julia''s Best Ever Chocolate Chip Cookies In A Jar Recipe ',,"['flour', 'baking soda', 'white sugar', 'chocolate', 'brown sugar']",5,10
203,Holland Butter Cookies Recipe ,,"['butter', 'flour', 'white sugar', 'baking soda']",5,10
239,Seattle Dutch Babies Recipe ,,"['flour', 'milk', 'salt', 'egg', 'butter']",5,10
252,Yorkshire Pudding I Recipe ,,"['flour', 'egg', 'milk', 'butter']",5,10
280,Mars Bar Cake Recipe ,,"['chocolate', 'butter', 'flour', 'egg', 'egg', 'white sugar', 'chocolate', 'cream']",5,10
37,Sourdough Starter Recipe ,,"['yeast', 'water', 'flour']",4,10
161,Boiling Water Pastry Recipe ,,"['shortening', 'water', 'salt', 'flour']",4,10
176,Butterkuchen Recipe ,,"['yeast', 'water', 'milk', 'white sugar', 'salt', 'butter', 'flour', 'egg', 'butter', 'white sugar', 'cinnamon']",4,10
182,Rich and Delicious Banana Bread Recipe ,,"['shortening', 'white sugar', 'flour', 'baking soda', 'salt', 'banana']",4,10
